N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
1.0,삼성전자,54200.0,"하락  1,400",-2.52%,100.0,54700.0,55200.0,54000.0
2.0,SK하이닉스,184000.0,"상승  4,700",+2.62%,5000.0,183000.0,184500.0,182100.0
3.0,LG에너지솔루션,382500.0,"하락  15,500",-3.89%,500.0,398500.0,405000.0,378500.0
4.0,삼성바이오로직스,974000.0,"하락  25,000",-2.50%,2500.0,997000.0,999000.0,973000.0
5.0,현대차,206500.0,"하락  4,500",-2.13%,5000.0,210000.0,212500.0,205500.0
6.0,셀트리온,193200.0,"하락  3,000",-1.53%,1000.0,196000.0,196000.0,192000.0
7.0,기아,95700.0,상승  400,+0.42%,5000.0,95400.0,97200.0,95400.0
8.0,삼성전자우,44700.0,"하락  1,850",-3.97%,100.0,45800.0,46050.0,44700.0
9.0,KB금융,84400.0,하락  200,-0.24%,5000.0,83900.0,85800.0,83700.0
10.0,NAVER,209500.0,"하락  4,500",-2.10%,100.0,214500.0,215000.0,209000.0
11.0,신한지주,48650.0,하락  850,-1.72%,5000.0,49400.0,49650.0,48500.0
12.0,고려아연,1112000.0,"하락  54,000",-4.63%,5000.0,1167000.0,1195000.0,1100000.0
13.0,현대모비스,239500.0,"상승  2,000",+0.84%,5000.0,237000.0,239500.0,235500.0
14.0,POSCO홀딩스,264000.0,"하락  6,500",-2.40%,5000.0,271000.0,271500.0,262000.0
15.0,HD현대중공업,239500.0,보합0,0.00%,5000.0,240500.0,246000.0,235000.0
16.0,삼성물산,116400.0,"하락  1,000",-0.85%,100.0,117400.0,118000.0,116200.0
17.0,삼성생명,98700.0,상승  500,+0.51%,500.0,98400.0,100300.0,96700.0
18.0,카카오,42850.0,"하락  1,100",-2.50%,100.0,43650.0,44250.0,42700.0
19.0,메리츠금융지주,97300.0,"하락  1,100",-1.12%,500.0,98900.0,100000.0,96900.0
20.0,LG화학,257000.0,"하락  11,000",-4.10%,5000.0,264500.0,266000.0,254500.0
21.0,SK이노베이션,119200.0,"하락  2,200",-1.81%,5000.0,121600.0,122100.0,116900.0
22.0,삼성화재,360500.0,"하락  1,000",-0.28%,500.0,358000.0,366000.0,356000.0
23.0,삼성SDI,247000.0,"하락  16,000",-6.08%,5000.0,261000.0,262000.0,245000.0
24.0,하나금융지주,58300.0,하락  600,-1.02%,5000.0,58100.0,59200.0,57400.0
25.0,크래프톤,342000.0,"하락  2,000",-0.58%,100.0,345000.0,350000.0,340000.0
26.0,HMM,18300.0,하락  190,-1.03%,5000.0,18470.0,18470.0,17810.0
27.0,HD한국조선해양,208500.0,"상승  1,000",+0.48%,5000.0,205500.0,212000.0,204000.0
28.0,LG전자,86800.0,"하락  1,000",-1.14%,5000.0,87400.0,88100.0,86700.0
29.0,HD현대일렉트릭,388500.0,"상승  8,500",+2.24%,5000.0,375500.0,397000.0,364000.0
30.0,한화에어로스페이스,305500.0,"하락  14,500",-4.53%,5000.0,316500.0,320500.0,304000.0
31.0,KT&G,110300.0,"하락  3,600",-3.16%,5000.0,112700.0,113600.0,108500.0
32.0,한국전력,21300.0,하락  250,-1.16%,5000.0,21600.0,21750.0,21150.0
33.0,SK텔레콤,57000.0,하락  600,-1.04%,100.0,57600.0,58100.0,56500.0
34.0,포스코퓨처엠,152600.0,"하락  13,700",-8.24%,500.0,167000.0,167700.0,152600.0
35.0,LG,75000.0,"하락  1,600",-2.09%,5000.0,76200.0,76200.0,74500.0
36.0,SK스퀘어,86800.0,상승  500,+0.58%,100.0,87300.0,88800.0,85700.0
37.0,KT,45750.0,하락  700,-1.51%,5000.0,46450.0,47100.0,45350.0
38.0,기업은행,14330.0,하락  280,-1.92%,5000.0,14570.0,14640.0,14230.0
39.0,우리금융지주,15240.0,하락  430,-2.74%,5000.0,15660.0,15720.0,15110.0
40.0,두산에너빌리티,17490.0,하락  150,-0.85%,5000.0,17840.0,17850.0,17420.0
41.0,카카오뱅크,23350.0,하락  700,-2.91%,5000.0,23900.0,24100.0,23100.0
42.0,삼성에스디에스,133700.0,"하락  5,000",-3.60%,500.0,140000.0,140000.0,133100.0
43.0,SK,140200.0,"하락  1,900",-1.34%,200.0,141200.0,142500.0,139900.0
44.0,한화오션,32300.0,"하락  1,400",-4.15%,5000.0,33500.0,33900.0,32250.0
45.0,삼성중공업,11070.0,하락  160,-1.42%,1000.0,11180.0,11300.0,11030.0
46.0,KODEX CD금리액티브(합성),1057165.0,상승  95,+0.01%,0.0,1057160.0,1057165.0,1057160.0
47.0,삼성전기,124600.0,"하락  2,900",-2.27%,5000.0,126600.0,126600.0,123500.0
48.0,유한양행,112800.0,"하락  5,600",-4.73%,1000.0,117200.0,117200.0,110500.0
49.0,대한항공,24150.0,하락  450,-1.83%,5000.0,24600.0,24600.0,24000.0
50.0,현대글로비스,114900.0,상승  900,+0.79%,500.0,114400.0,115300.0,113200.0
51.0,하이브,202500.0,"하락  2,500",-1.22%,500.0,204500.0,209000.0,201000.0
52.0,한미반도체,86700.0,"상승  2,900",+3.46%,100.0,84500.0,89000.0,84500.0
53.0,SK바이오팜,105200.0,하락  100,-0.09%,500.0,105300.0,107100.0,103700.0
54.0,DB손해보험,103200.0,상승  200,+0.19%,500.0,101600.0,104000.0,101300.0
55.0,TIGER CD금리투자KIS(합성),55400.0,보합0,0.00%,0.0,55400.0,55405.0,55400.0
56.0,포스코인터내셔널,39050.0,하락  450,-1.14%,5000.0,39850.0,39900.0,38400.0
57.0,아모레퍼시픽,110400.0,"하락  1,500",-1.34%,500.0,112200.0,112200.0,109000.0
58.0,HD현대마린솔루션,145100.0,상승  100,+0.07%,500.0,145900.0,149300.0,143100.0
59.0,S-Oil,56700.0,"하락  1,400",-2.41%,2500.0,57700.0,57800.0,56700.0
60.0,TIGER 미국S&P500,21720.0,상승  90,+0.42%,0.0,21700.0,21735.0,21670.0
61.0,HD현대,79800.0,"상승  1,000",+1.27%,1000.0,78200.0,81500.0,78200.0
62.0,KODEX 200,32620.0,하락  380,-1.15%,0.0,32955.0,32975.0,32570.0
63.0,삼양식품,736000.0,"상승  7,000",+0.96%,5000.0,734000.0,756000.0,709000.0
64.0,현대차2우B,154900.0,"하락  1,800",-1.15%,5000.0,156700.0,157900.0,154900.0
65.0,HD현대미포,137700.0,"상승  2,400",+1.77%,5000.0,135300.0,138800.0,133500.0
66.0,맥쿼리인프라,11250.0,상승  10,+0.09%,0.0,11240.0,11280.0,11220.0
67.0,한국항공우주,54400.0,하락  800,-1.45%,5000.0,55200.0,55200.0,53900.0
68.0,현대로템,48500.0,"하락  1,050",-2.12%,5000.0,50500.0,50700.0,48050.0
69.0,에코프로머티,76200.0,"하락  5,400",-6.62%,500.0,81300.0,81300.0,74100.0
70.0,LG생활건강,322000.0,"하락  15,500",-4.59%,5000.0,334500.0,337500.0,322000.0
71.0,한진칼,75200.0,"하락  2,000",-2.59%,2500.0,77100.0,77500.0,73900.0
72.0,코웨이,67200.0,하락  300,-0.44%,500.0,67600.0,68800.0,65000.0
73.0,미래에셋증권,8400.0,하락  190,-2.21%,5000.0,8590.0,8590.0,8320.0
74.0,한국타이어앤테크놀로지,39000.0,하락  300,-0.76%,500.0,38750.0,39550.0,38300.0
75.0,LG유플러스,10960.0,하락  290,-2.58%,5000.0,11290.0,11380.0,10900.0
76.0,넷마블,55600.0,하락  500,-0.89%,100.0,56300.0,56300.0,55200.0
77.0,LS ELECTRIC,159300.0,"상승  1,800",+1.14%,5000.0,158300.0,162500.0,155000.0
78.0,삼성카드,40950.0,상승  450,+1.11%,5000.0,40500.0,41350.0,40250.0
79.0,LG디스플레이,9250.0,하락  160,-1.70%,5000.0,9400.0,9400.0,9230.0
80.0,LIG넥스원,206500.0,"상승  12,000",+6.17%,5000.0,193700.0,215000.0,191600.0
81.0,NH투자증권,13790.0,상승  20,+0.15%,5000.0,13770.0,13930.0,13670.0
82.0,엔씨소프트,205500.0,"하락  4,000",-1.91%,500.0,207500.0,209500.0,204000.0
83.0,TIGER 미국나스닥100,141355.0,"상승  2,190",+1.57%,0.0,141100.0,141470.0,141020.0
84.0,두산,265000.0,"상승  2,500",+0.95%,5000.0,269500.0,273500.0,261000.0
85.0,KODEX KOFR금리액티브(합성),108955.0,보합0,0.00%,0.0,108950.0,108955.0,108950.0
86.0,효성중공업,456500.0,"상승  5,000",+1.11%,5000.0,453000.0,462000.0,441500.0
87.0,두산밥캣,41750.0,상승  200,+0.48%,500.0,41700.0,42500.0,40600.0
88.0,SK바이오사이언스,53200.0,"하락  2,400",-4.32%,500.0,55300.0,55300.0,53200.0
89.0,한국금융지주,74700.0,"하락  2,800",-3.61%,5000.0,76800.0,77500.0,73500.0
90.0,삼성증권,46550.0,하락  250,-0.53%,5000.0,47200.0,47200.0,45900.0
91.0,SKC,108700.0,"하락  1,900",-1.72%,5000.0,113000.0,113800.0,104700.0
92.0,CJ제일제당,266500.0,"하락  3,500",-1.30%,5000.0,271000.0,271000.0,266500.0
93.0,LG이노텍,168200.0,"하락  1,500",-0.88%,5000.0,169000.0,169700.0,166500.0
94.0,KODEX 머니마켓액티브,101415.0,상승  10,+0.01%,0.0,101415.0,101415.0,101410.0
95.0,카카오페이,29400.0,"하락  1,200",-3.92%,500.0,30600.0,30800.0,29350.0
96.0,오리온,99800.0,"하락  1,800",-1.77%,500.0,101100.0,101700.0,98500.0
97.0,한화시스템,20600.0,하락  850,-3.96%,5000.0,21600.0,21650.0,20300.0
98.0,GS,40550.0,상승  250,+0.62%,5000.0,40200.0,41150.0,39850.0
99.0,현대차우,151700.0,"하락  3,000",-1.94%,5000.0,154700.0,155400.0,151500.0
